,penyakit,gejala
335,Inherited Skin Disease in the Persian Cat," and Types



There are two common forms of seborrhea: seborrhea sicca, in which the skin becomes more dry and flaky; and seborrhea oleosa, in which the skin becomes more oily. Most animals with inherited seborrhea have a combination of the two forms.



Seborrhea in cats tends to affect the skin along the back and around the eyes and ears. It also causes irritation in those areas where the skin folds, such as in the armpits; on the underside; around legs; and on the face, feet, and neck.



"
336,"Inflammatory Bowel Disease (IBD) in Cats: Causes, Symptoms, and Treatment","


	
	Diarrhea
	
	
	Weight loss
	
	
	Fatigue
	
	
	Chronic intermittent vomiting
	
	
	Gas (flatulence)
	
	
	Abdominal pain
	
	
	Rumbling and gurgling abdominal sounds
	
	
	Bright red blood in the stool
	
	
	Distressed coat hair
	


"
337,Inflammation of the Superficial Veins in Cats," and Types

The main symptom of phlebitis is a localized inflammation, which can be seen due to warmth, swelling, pain, hardened vessels, or a redness of the skin known as erythema. If at least two of the aforementioned signs are present, this can be taken as a sign of local inflammation. Drainage or fever may also be present, both being associated with such infections.

"
338,Inflammation of the Middle Ear and External Ear Canal in Cats," and Types

The most common symptoms of otitis externa and otitis media are pain, head shaking, scratching at the external ear flaps, and bad odor. In a physical examination by a veterinarian, a cat with the condition may exhibit redness and swelling of the external ear canal, scaling skin or obstruction of the ear canal. Signs such as tilting the head, anorexia, uncoordination, and occasional vomiting may indicate the development of otitis media, or otitis interna, if the infection and inflammation spreads to the inner ear.

"
339,Inflammation of the Esophagus in Cats," and Types


    Regurgitation (return of food or 	other contents from the esophagus or stomach back through the mouth)
    Increased swallowing motions
    Increased secretions coming out of 	mouth
    Pain while swallowing
    Difficulty in swallowing
    Cat may cry while swallowing food 	or after swallowing due to pain in the esophagus
    Cat may extends its head and neck 	during swallowing
    Inability to ingest food
    Reluctance to move or lie down
    Poor appetite
    Weight loss
    Coughing
    Fever
    Cat may feel pain if you touch its 	neck or esophagus
    More pronounced symptoms if 	pneumonia develops


"
340,Inflammation of Bone in Cats," and Types

Lameness is often characterized by trouble walking on the front legs, as there is often a deep pain associated with the bones. While the inflammation is more common in the front legs, it is also found in the back legs.

Some cats also exhibit fever, depression, weight loss, and anorexia. Additionally, if the condition is not corrected, some cats  may experience loss of muscle mass (atrophy) over time with the lack of muscle usage.

"
341,Inflamed Chewing Muscles and Eye Muscles in Cats," and Types

Masticatory muscles

    Problems with normal jaw movements
    Inability to get and keep food in the mouth
    Jaw pain
    Muscle swelling around jaw and face
    Progressive loss of muscle mass


Extraocular muscles

    Swelling around eye
    Protrusion of the eyeball from the 	eye socket


"
342,Infertility in Female Cats,"

Some of the common symptoms that appear in cats that are unable to  reproduce are abnormal cycling, failure to conceive, failure to  copulate/mate, normal copulation without subsequent pregnancy, and/or pregnancy loss.

"
343,Infectious Arthritis (Septic Arthritis) in Cats," of Infectious Arthritis (Septic Arthritis) in Cats
The main signs of infectious arthritis include heat, swelling, and pain in one or more joints. Signs can present either as an acute (rapid) or chronic (gradual) process. In addition, septic arthritis can cause:


	
	Decreased range of motion
	
	
	Limping, lameness
	
	
	Lethargy
	
	
	Stiff gait
	
	
	Fever
	
	
	Decreased or lack of appetite
	


"
344,Increased Heart Rate Due to Premature Contractions in Cats," and Types
 

    Fainting (syncope)
    Weakness 
    Exercise intolerance 
    Sudden death 
    May be without symptoms 
    Increased heart rate 
    Signs of congestive heart failure (CHF) 

 
"
345,Incoordination of the Legs in Cats," and Types
 
Signs of cerebellar disease that may be present include:


    Head tilt
    Body swaying
    Body tremors; often more pronounced with movement
    Wide leg stance
    Loss of the menace response – the reflexive closing of the eyes when a finger is stabbed toward the eye
    Unequal pupil size (anisocoria)
    Abnormal, jerky movements

  
"
346,Inability to Urinate in Cats," and Types




	Palpably distended urinary bladder
	Ineffective, frequent, attempts to urinate without success
	Urine stream may be weak, attenuated, or interrupted
	Bladder may be so full that it frequently leaks urine
	Abdominal distension, abdominal pain, or signs of postrenal azotemia may predominate in rare cases or with urinary tract rupture
	Recurrent urinary tract infections may have caused muscular problems associated with urinating


 

"
347,Inability to Protrude or Retract Penis in Cats," and Types
 
The cat's inability to protrude its penis may go unnoticed until it tries to copulate with a female. Also, if the cat is having trouble urinating, it may be a sign of this medical disorder. If the animal experiences problems retracting its penis into the sheath, you may notice it licking the exterior of its penis. If it occurs over a prolonged period, there could also be fluid accumulation in the tissues (edema) or swelling in the area.
 
"
348,Hypothyroidism in Cats," of Hypothyroidism in Cats	
The symptoms you’ll see depend on the type of hypothyroidism your cat has.

Congenital Hypothyroidism

Kittens with congenital hypothyroidism can display the following symptoms:


	
	Mental dullness
	
	
	Small size compared to their littermates
	
	
	Abnormal body proportions, such as a large and wide head, enlarged tongue, and short limbs
	
	
	Lethargy
	
	
	Wobbly, drunken gait (also known as ataxia)
	
	
	Dry skin
	
	
	Thin fur
	


Acquired Hypothyroidism

Cats with acquired hypothyroidism may display the following signs:


	
	Lethargy
	
	
	Excessive weight gain
	
	
	Lack of appetite
	
	
	Dry, dull coat
	
	
	Hair loss
	
	
	Scaly skin
	


Causes of Hypothyroidism in Cats
The causes of hypothyroidism in cats are also dependent on the type.

Congenital Hypothyroidism

"
349,Hypothermia in Cats," of Hypothermia in Cats
You may have an image in your mind of what a person with hypothermia looks like. Well, some of the same symptoms occur in cats.

Symptoms of hypothermia in cats include:


	
	Shivering
	
	
	Weakness or lethargy
	
	
	Collapse or coma
	
	
	Being cold to the touch
	
	
	Fast breathing with mild hypothermia and slow breathing with severe hypothermia
	
	
	Low blood pressure (detected by a veterinarian)
	
	
	Abnormal heart rhythms (detected by a veterinarian)
	


"
350,Hypokalemia in Cats," of Hypokalemia in Cats
Symptoms of hypokalemia in cats include:


	
	Muscle weakness, potentially muscle paralysis
	
	
	Limb pain
	
	
	Head hanging downward (limp neck)
	
	
	Acting fatigued or mentally dull
	
	
	Drinking and urinating a lot (polydipsia and polyuria)
	
	
	Constipation
	
	
	Abnormal heart rhythm
	
	
	Shallow breathing
	


Keep in mind that hypokalemia often occurs secondary to another condition, so your cat could have other symptoms related to the main cause.

Causes of Hypokalemia in Cats
Hypokalemia in cats usually occurs due to a loss of potassium that happens alongside another health condition. "
351,Hypoglycemia (Low Blood Sugar) in Cats," of Hypoglycemia in Cats

	
	Weakness
	
	
	Lethargy/depression
	
	
	Vomiting
	
	
	Blindness
	
	
	Lack of coordination/stumbling
	
	
	Anxiety
	
	
	Seizures
	
	
	Coma
	
	
	Death
	


"
352,Hyperthyroidism in Cats: Symptoms and Treatment," of Hyperthyroidism in Cats

Here are the major symptoms of hyperthyroidism that you should look for in your cat:


	Weight loss
	Increased appetite (ravenous)
	Unkempt appearance
	Poor body condition
	Vomiting
	Diarrhea
	Drinking more than usual (polydipsia)
	Peeing more than usual (polyuria)
	Rapid breathing (tachypnea)
	Difficulty breathing (dyspnea)
	Heart murmur; rapid heart rate; an abnormal heartbeat known as a “gallop rhythm”
	Hyperactivity/restlessness
	Aggression
	Enlarged thyroid gland, which feels like a lump on the neck
	Thickened nails


Less than 10% of cats suffering from hyperthyroidism exhibit atypical signs such as poor appetite, loss of appetite, depression, and weakness.

What "
353,Hyperparathyroidism in Cats," and Types

 


	Most cats with primary hyperparathyroidism do not appear ill
	Signs are usually mild and are due solely to the effects of high levels of calcium in the blood
	Increased urination
	Increased thirst
	Lack of appetite
	Sluggishness
	Vomiting
	Weakness
	Presence of stones in the urinary tract
	Stupor and coma
	Veterinarian may be able to feel enlarged parathyroid glands in the neck
	Nutritional secondary hyperparathyroidism is caused by diets that have too little calcium and vitamin D or too much phosphorus – it is a type of malnutrition
	Nutritional secondary hyperparathyroidism sometimes is associated with bone fractures and general poor body condition


 

"
354,Hyperparathyroidism Due to Kidney Failure in Cats,"

The majority of symptoms relate to the underlying cause of chronic kidney failure. In some patients with chronic kidney disease, bone resorption starts around the teeth and jaw, causing a loosening of the teeth and a softening of the lower jaw, a condition known in the medical community as “rubber jaw.”

"
355,Hypercalcemia in Cats," of Hypercalcemia
Cats with mild hypercalcemia often do not show signs of illness. But if a cat’s total calcium level rises over a certain level, then these symptoms may be seen:

Neuromuscular


	
	Lethargy
	
	
	Muscle wasting
	
	
	Muscle tremors or twitching
	
	
	Inability to walk
	
	
	Seizures
	


Gastrointestinal


	
	Decreased appetite
	
	
	Anorexia
	
	
	Constipation or diarrhea
	
	
	Vomiting
	


Renal/Urinary tract


	
	Increased thirst and urination
	
	
	Dehydration
	
	
	Vomiting
	
	
	Decreased appetite
	
	
	If bladder stones form in the urine due to calcium buildup, a cat may have blood in the urine and strain to urinate small amounts.
	


Cardiac


	
	Heart arrhythmia (abnormal heartbeat)
	
	
	Weakness
	
	
	Collapse
	


The above symptoms are usually seen at home by pet parents and then reported to the veterinarian during an appointment. However, some cats with hypercalcemia have no symptoms, and the only way to detect this medical condition is for your veterinary professional to measure your cat's calcium level with a blood test during an annual exam.

"
356,Hydrocephalus in Cats," of Hydrocephalus in Cats 
Symptoms of congenital hydrocephalus usually shows up a few months after birth, but many cats may not develop symptoms until well into adulthood. Affected kittens may be described as:


	
	Smaller in size than their littermates
	
	
	Having a dome-shaped skull (congenital and acquired)
	
	
	Having open fontanelles (soft spot)
	
	
	Having bilateral ventrolateral strabismus, where a cat’s eyes appear to be looking downward and outward (congenital and acquired)
	
	
	Having variable neurologic dysfunction (congenital and acquired):

	
		
		Changes in behavior
		
		
		Restlessness
		
		
		Head pressing
		
		
		Walking in circles
		
		
		Altered walk (often appearing clumsy)
		
		
		Tetraparesis (weakness in all four limbs)
		
		
		Seizures, though less likely
		
		
		Blindness
		
	
	


"
360,Hot Spots on Cats," of Hot Spots on Cats
A hot spot–induced skin infection is initially moist, itchy, and inflamed, usually causing the skin in the area to turn red with or without hair loss. The infection then leads to pus formation, causing the wound to become more wet. The moisture is then trapped in the remaining hair, causing mats to form on top of the wound.

The pus will dry and the damaged skin will adhere to this infection site, causing a crusty, moist bed of infection that is likely very uncomfortable to your cat. The matted fur will often disguise how severely affected the underlying skin might be. The chewing, biting, or scratching makes the hot spot much worse, so the sooner you can have your cat examined by their vet the better.

"
361,Horner's Syndrome in Cats," of Horner’s Syndrome in Cats
Horner’s syndrome can affect one or both eyes. Symptoms of Horner’s syndrome in cats may include:


	
	One pupil more constricted than the other
	
	
	Elevated third eyelid on the side with constricted pupil
	
	
	Retraction of the same eyeball into the head
	
	
	Slight drooping of the upper eyelid on the affected side
	


"
362,Hormone Replacement Poisoning in Cats," and Types

Symptoms associated with hormone replacement poisoning will vary depending on the sex of the cat.


    Female Cats – Signs      similar to being in heat, including a swollen vulva and bloody discharge      will be present in female cats experiencing HRT toxicity, even if spayed.
    Male Cats – Extreme      attraction to female dogs as well as the possibility of swollen mammary      glands (breasts) and abnormally small penis. In unaltered cats, testicular      atrophy (shrinking of the testicles) may also occur.
    Hair loss may occur in      both male and female cats.


There is also concern that prolonged exposure to HRT products could cause bone marrow suppression leading to aplastic anemia (a severe blood disease) and possibly mammary tumors (breast cancer.)

"
363,Hookworms in Cats," of Hookworms in Cats
There are several possible symptoms of hookworm infection, including anemia, digested blood in the stool (black tarry stool), weight loss, and poor hair coat quality. Cats can experience blood loss due to hookworm feeding. This can lead to anemia, which is more common in kittens than in adult cats.

Hookworms are very small compared with some other types of intestinal parasites. They are barely visible to the naked eye, so they are not typically seen in stool. Proper fecal testing is needed to diagnose this issue and properly treat it.

"
364,Hole in the Trachea in Cats," and Types

 The following signs may occur immediately after injury or up to a week later:


    Pockets of air collected under the skin
    Respiratory distress
    Lack of appetite (anorexia)
    Lack of energy
    Gagging
    Excessive salivation (ptyalism)
    Vomiting
    Coughing
    Harsh crowing sound as animal breathes in
    Shock             

 
"
365,Hip Dysplasia in Cats," of Hip Dysplasia in Cats
Many cats will never show obvious clinical signs of hip dysplasia and may hide their pain well. Their signs are often more subtle. with the most common clinical signs including:


	
	Reluctance to jump to high surfaces
	
	
	Avoiding stairs
	
	
	Hesitance to squat in the litter box
	
	
	Going to the bathroom outside the litter box
	
	
	Excessive chewing/licking at the hip area
	
	
	Avoiding physical activity
	
	
	Changes in temperament, such as becoming agitated, aggressive, or grumpy
	
	
	Rarely, lameness or stiff gait
	


"
366,High-Rise Syndrome in Cats," of High-Rise Syndrome in Cats
Symptoms of high-rise syndrome in cats include:


	
	Difficulty breathing
	



	
	Panting
	
	
	Listlessness
	
	
	Pale gums
	
	
	Cold body temperature
	
	
	Lameness
	
	
	Blood coming from the mouth
	
	
	Broken teeth
	
	
	Facial trauma
	
	
	Limb disfigurement, swelling, or pain
	


"
367,High Phosphorus in Cats," of High Phosphorus in Cats 
Symptoms of high phosphorus in cats depend on the underlying cause of your cat’s high phosphorus levels. However, general signs include:


	
	Decreased appetite
	
	
	Lethargy
	
	
	Nausea or vomiting
	
	
	Weight loss
	
	
	Tooth loss
	
	
	Muscle tremors
	


"
368,High Levels of Blood Nitrogen in Cats," and Types


    Weakness
    Fatigue
    Vomiting
    Diarrhea
    Depression
    Dehydration
    Constipation
    Weight loss (cachexia)
    Loss of appetite (anorexia)
    Bad breath (halitosis)
    Muscle wasting
    Hypothermia
    Poor haircoat
    Unnatural lack of color in the skin
    A minute red or purple spot on the surface of the skin as the result of tiny hemorrhages of blood vessels in the skin (petechiae)
    The escape of blood from ruptured blood vessels into the surrounding tissue to form a purple or black-and-blue spot on the skin (ecchymoses)


"
369,High Cholesterol in Cats," and Types



Symptoms of hyperlipidemia include seizures, abdominal pain, nervous system dysfunctions, patches on the skin, and cutaneous xanthomata, which are yellowish-orange lipid-filled bumps (i.e., bumps filled with a fatty, greasy liquid).



"
370,High Blood Sugar in Cats," of High Blood Sugar in Cats
Symptoms of high blood sugar in cats include:


	
	Excessive water intake
	
	
	Excessive urination
	
	
	Increased appetite
	
	
	Weight loss
	


Cats who are seriously ill, such as those with diabetic ketoacidosis, usually have more severe clinical signs, including:


	
	Loss of appetite
	
	
	Vomiting
	
	
	Lethargy
	


"
371,High Blood Pressure in the Portal Vein to the Liver in Cats," and Types


    Yellow 	skin and eyes (jaundice)
    Abdominal 	distention
    
        Secondary hepatic encephalopathy
        Seizures
        Disorientation/confusion
    
    
    Heart 	problems
    
        Cough
        Exercise intolerance
        Trouble breathing
    
    
    Portal 	vein blocked by a blood clot
    
        Bloody diarrhea
        Abdominal pain
        Lack of energy
        Lack of appetite
    
    


"
372,High Blood Pressure in the Lungs in Cats," and Types




	Exercise intolerance
	Trouble breathing
	Bluish-purplish tinged skin
	Coughing
	Coughing or vomiting up blood
	Enlarged abdomen
	Weight Loss
	Fatigue
	Fainting




"
373,High Blood Pressure (Hypertension) in Cats," of High Blood Pressure in Cats
Early signs of high blood pressure in cats are often not noticeable to pet parents and may only be detected by routine blood pressure measurement.

Unfortunately, if cats are not routinely screened for high blood pressure or common diseases that cause high blood pressure, they will only show noticeable symptoms once significant damage has already been done to their organs. The organs that are damaged by hypertension in cats are the eyes, brain, nervous system, kidneys, and heart.

Usually, a pet parent will first notice something wrong with their cat’s eyes, and this is what will prompt them to seek veterinary attention. Symptoms include:


	
	Fixed, dilated pupils
	
	
	Blood in the globe (clear chamber) of the eye
	
	
	Bumping into objects
	
	
	Sudden blindness
	


Blindness and dilation of the pupils are often due to retinal detachment. Unless hypertension in cats is treated very promptly and aggressively, vision loss is often permanent.

Symptoms of brain damage due to feline hypertension include:


	
	Abnormal behavior
	
	
	Disorientation
	
	
	Depression
	
	
	Seizures
	


Signs of kidney damage that may be worsened with hypertension include:


	
	Decreased appetite
	
	
	Vomiting
	
	
	Weight loss
	
	
	Lethargy
	
	
	Increased water intake
	
	
	Frequent urination
	


Signs of heart disease due to hypertension include:


	
	Abnormal heart sounds or murmurs found during a veterinary examination
	
	
	Less likely: Rapid, shallow breathing, paralysis, or sudden death due to congestive heart failure
	


"
374,Hernia (Inguinal) in Cats," and Types



Inguinal hernias may be uncomplicated or complicated. A complicated hernia is one in which contents of the abdominal cavity have passed through the opening and become entrapped.



Symptoms seen with an uncomplicated inguinal hernia are:




	A soft swelling in the groin area, which may occur on one or both sides of the body




Symptoms seen with a complicated inguinal hernia may include:




	Swelling in the groin area, which may become painful and warm to the touch
	Vomiting
	Pain
	Frequent attempts to urinate
	Bloody urine
	Lack of appetite
	Depression




"
375,Hernia (Hiatal) in Cats,"




	Anorexia
	Regurgitation
	Coughing
	Vomiting
	Weight loss
	Excessive salivation
	Shortness of breath




"
376,Hernia Between the Pericardium and Peritoneum in Cats," and Types
 
Symptoms will largely depend on the amount on the amount and nature of abdominal contents herniated. Some common ones include:
 

    Vomiting
    Diarrhea
    Cough
    Weight loss
    Difficult breathing

 
"
377,"Hereditary, Non-Inflammatory Muscular Disease in Cats"," and Types


    Vomiting
    Increased muscle mass
    Stiff gait
    Exercise intolerance
    Weakness
    Downward flexion of head and neck


"
378,Hepatic Lipidosis in Cats (Fatty Liver Disease)," of Hepatic Lipidosis in Cats
Cats with hepatic lipidosis usually have some combination of the following symptoms:


	
	Poor or no appetite
	
	
	Rapid weight loss
	
	
	Jaundice (icterus)—a yellow discoloration of the whites of the eyes and other tissues
	
	
	Vomiting
	
	
	Lethargy and depression
	
	
	Unusual behaviors
	
	
	Weakness
	
	
	Diarrhea or constipation
	
	
	Dark urine
	
	
	Abnormal bleeding or bruising
	


"
379,Hemorrhage of the Lung in Cats," and Types


    Tachypnea
    Coughing up of blood or blood-tinged fluid
    Respiratory distress, or abnormal respiratory effort after a blunt trauma to the chest
    Cyanotic (blue-tinged) or pale mucous membranes


"
380,Hemoglobin and Myoglobin in Urine in Cats," and Types


    Increased 	heart rate
    Lack 	of energy, lethargy
    Fever
    Pale 	white or purple tinged gums
    Yellow 	skin and/or yellow whites of eyes (jaundice)
    Tenderness 	and bruising
    Blood 	in the urine (urine is pink or red-colored)


"
381,Heatstroke in Cats," of Heatstroke in Cats
To recognize heatstroke in cats, watch for the following symptoms:


	
	Rectal temperature greater than 104 F
	
	
	Disorientation
	
	
	Reddened gums
	
	
	Vomiting and/or diarrhea, which may contain blood
	
	
	Pinpoint spots of bleeding on the skin, whites of the eyes, gums, inside of the ears, and belly
	
	
	Labored breathing, panting, and wheezing
	
	
	Seizures
	
	
	Collapse, inability to walk or stand up
	


"
382,Heartworm Disease in Cats," of Heartworm Disease in Cats 
Clinical signs of heartworm disease vary greatly in severity. Some cats may not have any clinical signs at all. Most of the noticeable issues come from the adult heartworm suddenly dying and causing acute issues within the cat or abnormal worm migration causing tissue damage. When cats do show signs of illness, veterinarians most commonly see the following:  


	
	Lethargy 
	
	
	Coughing 
	
	
	Decreased appetite 
	
	
	Weight loss 
	
	
	Exercise intolerance 
	



	
	Vomiting 
	
	
	Difficulty breathing 
	
	
	Increased breathing 
	
	
	Open-mouth breathing 
	
	
	Neurologic abnormalities 
	



	
	Heart murmur 
	
	
	Sudden death
	


"
383,Heart Valve Narrowing (Mitral and Tricuspid) in Cats," and Types 


	
	Exercise intolerance
	
	
	Fainting (syncope)
	
	
	Trouble breathing 
	
	
	Coughing (mitral valve narrowing)
	
	
	Pale or bluish skin color (cyanosis) 
	
	
	Fluid in the abdomen, swelling (tricuspid valve stenosis)
	
	
	Stunted growth
	
	
	Spitting up blood
	


"
384,Heart Valve Malformation in Cats," of Heart Valve Malformation in Cats
Cats suffering from heart valve malformation often have these general symptoms:


	
	Failure to gain weight
	
	
	Loss of appetite
	
	
	Difficulty breathing
	
	
	Weakness
	
	
	Fainting spells
	
	
	Muscle wasting
	


If the malformation is in the mitral valve, your cat may have the following specific symptoms associated with left-sided heart failure because fluid accumulates in the lung and chest cavity:


	
	Increased heart rate
	
	
	Difficulty breathing
	
	
	“Stretching” postures
	
	
	Cough
	
	
	Pale or blue gums
	
	
	Weak pulses, felt on the inside of the cat’s thighs
	
	
	Cool extremities
	


If the malformation is in the tricuspid valve, your cat may have the following specific symptoms associated with right-sided heart failure:


	
	Ascites, or fluid buildup, in the abdomen
	
	
	Distension of the jugular veins
	
	
	Weakness or collapse
	
	
	Fluid accumulation in the lower limbs
	
	
	Enlarged liver
	


Unfortunately, for some pet parents, the only sign will be the sudden passing of the cat, as cats with severe congenital heart defects are likely to die prematurely. 

"
385,Heart Valve Infection (Infective Endocarditis) in Cats," and Types

Variable set of symptoms may be present in patient depending upon the nature and site of infection, complications and extent of affects on heart. The following symptoms may be present in an affected cat:


    Fever
    Cough
    Bluish discoloration of the skin
    Weakness
    Lethargy
    Anorexia
    Weight loss
    Reluctance to move
    Body aches and pains
    Symptoms related to heart problems
    Difficult breathing
    Intermittent lameness
    Gastrointestinal disturbances


"
386,Heart Tumors in Cats," and Types

Symptoms are dependent on what type of tumor is in the heart, and where in the heart it is located:


    Heart rhythm abnormalities (cardiac arrhythmia)
    Heart murmurs
    Enlargement of the heart
    Sudden heart failure
    Signs of heart failure due to heart tumor:
    
        Coughing
        Difficulty breathing, even while at rest
        Sudden collapse
        Exercise intolerance
        General fatigue
        Fainting
        Lack of appetite
        Bloated, fluid filled abdomen
    
    

 
"
387,Heart Sac Inflammation (Pericarditis) in Cats," and Types

Right-sided congestive heart failure is the usual outcome of pericarditis. Other symptoms include:


    Anorexia
    Lethargy
    Fluid 	buildup in the abdomen
    Difficulty 	breathing
    Weak 	pulse
    Increased 	heart rate
    Collapse


"
388,Heart Murmur in Cats," of Heart Murmur in Cats
Pet parents will typically not notice any symptoms in cats until heart disease progresses and signs of congestive heart failure or thromboembolism (blood clots) develop. Heart murmurs are usually found incidentally during a routine physical examination. Your veterinarian will discuss possible causes and next steps for diagnosis.   

Symptoms of severe heart disease, heart failure, and thromboembolism include: 


	
	Chronic weight loss or muscle wasting 
	



	
	Decreased appetite 
	
	
	Hiding behavior 
	
	
	Weakness 
	
	
	Coughing or wheezing 
	
	
	Exercise intolerance: panting with mild exertion 
	



	
	Increased respiratory rate at rest 
	
	
	Increased effort to breathe, open mouth breathing, abdominal push to exhale, dyssynchronous breathing (chest heaves out when abdomen pulls in and abdomen heaves out when chest pulls in), or outstretched neck 
	
	
	Fluid from mouth or nostrils 
	
	
	Change in the color of the gums to blue, gray, or white 
	
	
	Lethargy 
	



	
	Collapse 
	
	
	Paralysis of the hind limbs 
	
	
	Painful vocalization 
	
	
	Stunted growth in kittens with severe congenital causes 
	


"
389,Heart Medicine Poisoning in Cats," and Types

One of the most significant concerns about this condition is toxicity to the heart cells themselves, called myocardial toxicity. When this occurs, abnormal heart rhythms can occur, often leading to heart failure.

Depression, anorexia, vomiting and diarrhea are often the first symptoms your cat will display. This can occur even when the medication is given at the prescribed dose because  therapeutic and toxic levels are very close.

With acute overdose, your cat may become comatose or have seizures. Any time toxicity is a concern, it is important to consult with your veterinarian, as the effects of toxicity can progress quickly.

"
390,Heart Inflammation (Myocarditis) in Cats," and Types
 
The inflammation itself may be focal or diffused throughout the myocardium. Other symptoms associated with myocarditis include:
 

    Arrhythmias (abnormal heart rhythm)
    Cough
    Exercise intolerance
    Difficult breathing
    Weakness
    Collapse
    Fever
    Other symptoms related to infections may also be present

 
"
391,Heart Impulse Block in Cats," and Types


    Usually 	asymptomatic (without symptoms)
    Weakness
    Fainting
    Pale 	gums
    Very 	slow heart rate, may be possible to detect


Sinoatrial block is classified into first, second, and third-degree SA block (similar to degrees of atrioventricular [AV] block). It is difficult to diagnose first and third-degree SA block from an electrocardiogram (ECG) reading only.

Second-degree SA block is the most common type of SA block, and the only degree that can be recognized on a surface ECG. In addition, there are two types of second-degree SA blocks: Mobitz type I (also called Wenckebach periodicity)  and Mobitz type II.

First-degree 	sinoatrial block     

    Slowed 		conduction 

Second-degree 	sinoatrial block

    Failure 		to conduct is intermittent
    Two 		types of second-degree SA block occur:
    
        Mobitz 			type I/Wenckebach periodicity – speed of conduction slows 			gradually until failure of impulses to reach the atria occurs
        Mobitz 			type II – block is all, or none, until complete conduction 			failure takes place
        The 			two types cannot be differentiated on a surface ECG 
    
    

Third-degree 	sinoatrial block     

    Complete 		failure to conduct


"
392,Heart Failure in Cats," of Heart Failure in Cats
Heart failure usually starts as a progression of heart disease, with few symptoms to even suggest your cat is sick. Cats can play, eat normally, and have normal bowel movements early in heart disease. It is important to remember that heart disease is not heart failure, although heart disease may eventually lead to heart failure.

As heart disease advances, pet parents may start to notice some signs and symptoms. Cats may begin to cough, become lethargic, not eat as well, and even become out of breath or pant during normal activities such as walking or playing. If left undetected, this can develop into heart failure. If left unchecked, the condition is likely to be fatal.

If your cat is experiencing any symptoms of heart disease or failure, take them to a veterinarian immediately. If your cat appears to be healthy, a full physical exam is recommended annually with your veterinarian to detect early signs.

"
393,"Heart Failure, Congestive (Right-sided) in Cats","
 
All organ systems in the body can be affected by congestive heart failure. Common signs include weakness, lethargy, difficulty breathing, an enlarged liver, and abdominal distension. Upon physical examination, several signs of disease may present, including jugular vein distention, heart murmur, and rapid, shallow breathing.
 
"
394,"Heart Failure, Congestive (Left-sided) in Cats"," and Types


    Weakness
    Exercise 	intolerance
    Trouble 	breathing
    Cat 	stands in unusual positions to relieve pain
    Increased 	heart rate
    Crackles 	heard when listening to the lungs
    Pale/gray/bluish 	mucous membranes
    Gums 	stay pale longer than a few seconds when pushed upon with a finger
    Possible 	heart murmur
    Weak 	pulses on the insides of the cat's thighs


"
395,Heart Disease of the Sinus Node in Cats," and Types

If your cat tends to be fairly inactive under normal circumstances, it will take longer for symptoms of sick sinus syndrome to become apparent. When symptoms do show, those that will generally present are:


    Weakness
    Fainting
    Fatigue
    Collapse
    Seizure
    Abnormally fast or abnormally slow 	heart rate
    Pauses in 	the heart rhythm
    Rarely, sudden death


"
396,Heart Disease in Cats," of Heart Disease in Cats
Many cats with heart disease can be asymptomatic (show no visible signs), which makes diagnosing the condition challenging. Unfortunately, for some cats, the only symptom is sudden death. Other cats may experience the following:


	
	Abdominal distension
	
	
	Abnormal heart sounds such as murmur, arrhythmia, or gallop rhythm
	
	
	Collapse
	
	
	Cool extremities (cat is cold to the touch)
	
	
	Decreased appetite
	
	
	Heart failure
	
	
	Lethargy
	
	
	Pale or blue gums
	
	
	Respiratory changes such as increased respiratory rate, open mouth breathing, panting, labored breathing, and cough (rarely)
	
	
	“Stretching” postures
	
	
	Sudden hind limb paresis or paralysis, most often caused by a saddle thrombus (clot) and accompanied with pain and vocalization
	
	
	Vomiting
	
	
	Weak pulses, felt on the inside of the cat’s thighs
	

"
397,Heart Disease Caused by Scarring of the Heart Muscles in Cats," and Types
 

    Lethargy
    Poor appetite and weight loss
    Fainting
    Impaired movement or paralysis
    Some cats are asymptomatic
    Difficult breathing
    Fast breathing
    Open mouth breathing
    Pale mucous membranes
    Abdominal distention

 
"
398,Heart Defect (Congenital) in Cats," and Types


    Respiratory 	(breathing) distress:
    
        Coughing
        Exercise 	intolerance
        Increased 	breathing rate
    
    
    Right 	to left shunting PDA:
    
        Hind 	legs are weak during exercise
        Blood 	is thicker than normal, causing:
        Arrhythmias 	(irregular heart beat)
        Right 	to left blood clot
        Pink, 	or bluish gums, and bluish skin around the anus or vulva
    
    
    Possibly 	left-sided congestive heart failure
    Rapid, 	irregular heart beat
    Stunted 	growth


"
399,Heart Cancer (Hemagiosarcoma) in Cats," and Types

Most symptoms are seen related to complications affecting heart rather than tumor itself.


    Difficult breathing
    Accumulation of fluid within 	abdominal cavity - visible abdominal distention
    Accumulation of fluid within 	thoracic (chest) cavity
    Sudden loss of 	consciousness/fainting (syncope)
    Inability to perform routine 	exercises
    Trouble with coordination (ataxia)
    Irregular heart beats/arrhythmia
    Enlargement of the liver
    Lethargy
    Malaise/depression
    Loss of appetite (anorexia)
    Weight loss


"
400,Heart Block or Conduction Delay (Right Bundle) in Cats," and Types
 
Often, no specific symptoms are seen that can be attributed to RBB, only those that are related to the underlying disease causing the defect.
 
"
